,Week_ending,Uid code,Brand new,Size short,Diet dummy,Container,quantity,amount,ND,Sale,PoS
112,201502,44,Other,500ml,0,Can,1246,103974.0,0.010526316,83.44622792937399,0.00024200039155119533
113,201502,45,Other,500ml,0,PET,11204,956644.0,0.2,85.3841485183863,0.00217606130573001
114,201502,46,Other,500ml,1,PET,49544,3545207.0,0.273684211,71.55673744550299,0.009622526002417673
115,201502,47,Other,500ml,0,Bottle_Can,422,41346.0,0.031578947,97.97630331753554,8.196160933756375e-05
116,201502,48,Other,500ml,1,Bottle_Can,640,53490.0,0.010526316,83.578125,0.00012430196676786918
117,201502,49,Syeda,500ml,0,PET,801641,66839103.0,1.0,83.37784993532017,0.15569617647150222
118,201502,50,Syeda,500ml,1,PET,110028,9352661.0,0.736842105,85.00255389537209,0.02136983874927361
119,201502,51,Syeda,500ml,0,Can,886,63794.0,0.094736842,72.00225733634312,0.0001720805352442689
120,201502,53,Ito,500ml,0,PET,33309,3392032.0,0.663157895,101.83529976883125,0.0064693347047983666
121,201502,54,Ito,500ml,0,Can,70,4200.0,0.010526316,60.0,1.3595527615235692e-05
122,201502,56,Calpis,500ml,0,PET,2039,183221.0,0.210526316,89.8582638548308,0.00039601829724950825
123,201502,57,Calpis,500ml,0,Can,204,16086.0,0.031578947,78.8529411764706,3.96212519072583e-05
124,201502,59,Cc,500ml,0,Can,110,9112.0,0.031578947,82.83636363636364,2.1364400538227515e-05
125,201502,60,Cc,500ml,0,PET,495203,41791076.0,1.0,84.39180699632271,0.09617922945210801
126,201502,61,Cc,500ml,1,PET,12358,1067778.0,0.431578947,86.4037870205535,0.002400193289558324
127,201502,62,Pepsi,500ml,0,Can,132,11150.0,0.010526316,84.46969696969697,2.563728064587302e-05
128,201502,63,Pepsi,500ml,0,PET,334,29054.0,0.052631579,86.9880239520958,6.487008890698173e-05
129,201502,64,Pepsi,500ml,1,PET,719616,66549556.0,1.0,92.47926116150836,0.1397651314337921
130,201502,65,Sun L.,500ml,0,Can,5798,349198.0,0.010526316,60.227319765436356,0.001126098130187665
131,201502,66,Coca,500ml,0,PET,1070458,89173522.0,1.0,83.30408292525256,0.20790630428499954
132,201502,67,Coca,500ml,0,Can,30628,2105646.0,0.273684211,68.74905315397676,0.00594862599713484
133,201502,68,Fanta,500ml,0,Can,10107,540227.0,0.221052632,53.45077668942317,0.001962999965816959
134,201502,69,Fanta,500ml,0,PET,722954,59465924.0,1.0,82.25409085501983,0.14041344387921578
135,201503,0,Other,400ml,0,Can,282,28276.0,0.063157895,100.26950354609929,5.60001366244468e-05
136,201503,2,Other,400ml,0,Glass,9914,1186197.0,0.694736842,119.64867863627194,0.0019687423918254097
137,201503,8,Other,350ml,0,Can,50982,1922011.0,0.452631579,37.699796006433644,0.010124109806338818
138,201503,9,Other,350ml,0,Glass,29403,2954658.0,0.842105263,100.48831751862055,0.0058389078623000325
139,201503,10,Other,350ml,1,Can,166218,4518550.0,0.410526316,27.184480621833977,0.03300791031717127
140,201503,11,Other,350ml,1,Glass,155,17487.0,0.105263158,112.81935483870967,3.0780216938968986e-05
141,201503,13,Syeda,350ml,0,Can,1276,65647.0,0.073684211,51.44749216300941,0.0002533906891233834
